time,phase,mem_used_mib,mem_total_mib,gpu_util_pct,power_w
17:25:10,train,1286,8151,32,34.38
17:25:25,train,4884,8151,13,21.77
17:25:40,train,7228,8151,93,65.79
17:25:55,train,7154,8151,95,64.08
17:26:10,train,7130,8151,97,67.44
17:26:25,train,7343,8151,98,63.10
17:26:40,train,7258,8151,98,66.44
17:26:55,train,7428,8151,94,61.89
17:27:10,train,7339,8151,99,59.83
17:27:26,train,7191,8151,95,59.92
17:27:41,train,7178,8151,95,59.90
17:27:56,train,7194,8151,94,59.72
17:28:11,train,7195,8151,93,59.83
17:28:26,train,7132,8151,95,59.97
17:28:41,train,7132,8151,96,59.94
17:28:56,train,7132,8151,97,59.82
17:29:11,train,7133,8151,97,59.89
17:29:26,train,7132,8151,97,59.81
17:29:41,train,7132,8151,97,59.88
17:29:56,train,7209,8151,99,59.73
17:30:11,train,7619,8151,98,59.83
17:30:26,train,7547,8151,98,59.90
17:30:41,train,7348,8151,99,59.78
17:30:56,train,7444,8151,98,59.82
17:31:12,train,7289,8151,92,59.75
17:31:27,train,7252,8151,98,59.63
17:31:42,train,7252,8151,97,59.94
17:31:57,train,7244,8151,97,59.71
17:32:12,train,7293,8151,98,60.10
17:32:27,train,7459,8151,86,59.31
17:32:42,train,7449,8151,91,59.63
17:32:57,train,7605,8151,91,59.73
17:33:12,train,7470,8151,98,59.72
17:33:27,train,7397,8151,89,59.80
17:33:42,train,7456,8151,98,59.92
17:33:57,train,7395,8151,98,59.73
17:34:12,train,7496,8151,93,60.04
17:34:27,train,7521,8151,99,59.75
17:34:42,train,7220,8151,97,59.78
17:34:58,train,7186,8151,93,59.67
17:35:13,train,7257,8151,90,59.96
17:35:28,train,7531,8151,95,59.83
17:35:43,train,7358,8151,89,59.69
17:35:58,train,7468,8151,98,59.88
17:36:13,train,7264,8151,99,59.74
17:36:28,train,7428,8151,97,59.83
17:36:43,train,7248,8151,92,59.92
17:36:58,train,7313,8151,98,59.86
17:37:13,train,7361,8151,96,59.81
17:37:28,train,7516,8151,97,59.78
17:37:43,train,7388,8151,94,59.84
17:37:58,train,7622,8151,97,59.70
17:38:13,train,7135,8151,98,59.77
17:38:28,train,7090,8151,98,59.61
17:38:44,train,7083,8151,91,59.77
17:38:59,train,7081,8151,97,59.81
17:39:14,train,7087,8151,98,59.78
17:39:29,train,7191,8151,98,59.77
17:39:44,train,7232,8151,99,59.72
17:39:59,train,7162,8151,97,59.76
17:40:14,train,7221,8151,92,59.82
17:40:29,train,7124,8151,99,59.71
17:40:44,train,7129,8151,98,59.77
17:40:59,train,7151,8151,98,59.74
17:41:14,train,7104,8151,92,59.65
17:41:29,train,7344,8151,98,59.68
17:41:44,train,7344,8151,90,59.56
17:41:59,train,7365,8151,97,59.72
17:42:14,train,7226,8151,98,59.74
17:42:30,train,7198,8151,90,59.72
17:42:45,train,7313,8151,91,59.80
17:43:00,train,7439,8151,99,59.73
17:43:15,train,7420,8151,98,59.49
17:43:30,train,7372,8151,88,59.75
17:43:45,train,7628,8151,90,59.70
17:44:00,train,7438,8151,97,59.88
17:44:15,train,7436,8151,98,59.77
17:44:30,train,7435,8151,97,59.88
17:44:45,train,7663,8151,95,59.75
17:45:00,train,7467,8151,87,59.59
17:45:15,train,7512,8151,92,59.83
17:45:30,train,7630,8151,97,59.73
17:45:46,train,7471,8151,34,54.88
17:46:01,train,7660,8151,98,59.60
17:46:16,train,7591,8151,99,59.84
17:46:31,train,7462,8151,99,59.80
17:46:46,train,7420,8151,93,59.81
17:47:01,train,7366,8151,99,60.02
17:47:16,train,7414,8151,93,60.06
17:47:31,train,7399,8151,98,59.81
17:47:46,train,7356,8151,92,59.90
17:48:01,train,7358,8151,99,59.78
17:48:16,train,7345,8151,89,59.48
17:48:31,train,7356,8151,99,59.91
17:48:46,train,7339,8151,97,59.88
17:49:01,train,7336,8151,98,59.67
17:49:17,train,7363,8151,99,59.82
17:49:32,train,7377,8151,95,59.88
17:49:47,train,7553,8151,99,60.19
17:50:02,train,7537,8151,98,59.76
17:50:17,train,7430,8151,91,59.85
17:50:32,train,7408,8151,89,59.85
17:50:47,train,7356,8151,96,59.92
17:51:02,train,7467,8151,99,59.78
17:51:17,train,7384,8151,90,59.69
17:51:32,train,7428,8151,98,59.65
17:51:47,train,7235,8151,91,59.87
17:52:02,train,7266,8151,96,59.84
17:52:17,train,7225,8151,98,59.69
17:52:32,train,7222,8151,87,59.79
17:52:47,train,7227,8151,96,59.79
17:53:03,train,7238,8151,12,20.17
17:53:18,caption,1636,8151,12,19.50
17:53:33,caption,5591,8151,15,19.83
17:53:48,caption,2279,8151,13,19.92
17:54:03,caption,1690,8151,13,21.01
17:54:18,caption,2425,8151,14,22.43
17:54:33,caption,1741,8151,19,23.24
17:54:48,caption,2461,8151,13,19.73
