step,loss,lr,grad_norm
1,6.2857,5.263157894736842e-05,13.8612
2,5.9749,0.00010526315789473683,7.9952
3,6.4198,0.00015789473684210527,12.6123
4,5.7551,0.00021052631578947367,6.6526
5,5.9712,0.0002631578947368421,10.4752
6,5.4054,0.00031578947368421053,12.63
7,5.6547,0.00036842105263157896,8.3419
8,5.3758,0.00042105263157894734,11.488
9,4.5065,0.00047368421052631577,4.4608
10,5.2462,0.0005263157894736842,8.0492
11,5.6475,0.0005789473684210527,26.1425
12,5.7347,0.0006315789473684211,8.7023
13,4.7102,0.0006842105263157895,2.7798
14,5.0284,0.0007368421052631579,4.2447
15,4.7429,0.0007894736842105263,3.2745
16,5.0048,0.0008421052631578947,5.705
17,5.4325,0.0008947368421052632,2.3998
18,4.9868,0.0009473684210526315,1.9994
19,4.8518,0.001,2.2224
20,4.8392,0.001,2.6209
21,4.4973,0.0009999932811718506,1.3084
22,4.73,0.0009999731248679733,4.5543
23,4.5176,0.0009999395316300749,1.9628
24,4.5451,0.000999892502360984,1.8584
25,4.4157,0.000999832038324627,2.4868
26,4.3584,0.000999758141145994,1.7685
27,4.4768,0.0009996708128110947,1.2379
28,4.3112,0.000999570055666905,1.9236
29,4.1889,0.0009994558724213053,3.0111
30,4.7934,0.0009993282661430057,1.1658
31,4.8634,0.0009991872402614647,1.444
32,4.5716,0.0009990327985667973,1.8947
33,4.6247,0.0009988649452096717,1.7871
34,4.276,0.0009986836847012,1.2745
35,4.274,0.0009984890219128146,2.3004
36,4.7329,0.000998280962076139,2.306
37,4.5414,0.0009980595107828465,1.1204
38,4.5345,0.0009978246739845093,1.0133
39,4.2772,0.0009975764579924402,1.2876
40,4.5252,0.0009973148694775217,1.0405
41,4.2909,0.0009970399154700263,1.8486
42,4.6928,0.0009967516033594294,1.2095
43,4.3966,0.000996449940894209,1.413
44,4.8024,0.0009961349361816384,1.3246
45,4.1245,0.000995806597687567,1.104
46,4.668,0.0009954649342361953,1.2669
47,4.3845,0.0009951099550098348,0.7671
48,4.0303,0.0009947416695486632,0.7805
49,4.3199,0.0009943600877504678,0.7815
50,4.2048,0.0009939652198703783,0.647
51,4.5422,0.0009935570765205928,0.7965
52,4.4982,0.000993135668670091,0.6634
53,4.4778,0.0009927010076443406,0.7584
54,4.0448,0.000992253105124993,0.886
55,4.5778,0.000991791973149568,0.6845
56,4.5193,0.000991317624111132,0.708
57,4.3998,0.0009908300707579631,0.6882
58,4.4238,0.0009903293261932105,1.047
59,4.2903,0.0009898154038745408,0.6855
60,4.4321,0.000989288317613777,0.7574
